municipality,census_csduid,census_cduid,census_desc,fuel_type,registered_vehicles_2016,registered_vehicles_2017,registered_vehicles_2018,registered_vehicles_2019,registered_vehicles_2020
North Algona Wilberforce,3547070,,Township,Propane,0,0,0,0,0
North Bay,3548044,,City,Compressed Natural Gas,4,4,4,3,2
North Bay,3548044,,City,Diesel,1722,1696,1715,1847,1929
North Bay,3548044,,City,Electric,4,6,18,25,41
North Bay,3548044,,City,Gas,35427,35818,36436,36810,37586
North Bay,3548044,,City,Plugin Hybrid,15,23,61,74,83
North Bay,3548044,,City,Propane,1,1,2,1,1
North Dumfries,3530004,,Township,Compressed Natural Gas,4,6,4,4,4
North Dumfries,3530004,,Township,Diesel,1432,1458,1520,1589,1644
North Dumfries,3530004,,Township,Electric,1,5,15,22,29
North Dumfries,3530004,,Township,Gas,6711,7017,7201,7320,7448
North Dumfries,3530004,,Township,Plugin Hybrid,3,8,14,23,20
North Dumfries,3530004,,Township,Propane,0,0,0,1,1
North Dundas,3501030,,Township,Compressed Natural Gas,0,0,0,1,1
North Dundas,3501030,,Township,Diesel,824,796,808,822,809
North Dundas,3501030,,Township,Electric,0,2,7,9,15
North Dundas,3501030,,Township,Gas,10105,10281,10364,10594,10783
North Dundas,3501030,,Township,Plugin Hybrid,7,7,10,9,10
North Dundas,3501030,,Township,Propane,1,1,0,0,0
North Frontenac,3510045,,Township,Compressed Natural Gas,0,0,0,0,0
North Frontenac,3510045,,Township,Diesel,113,106,101,103,103
North Frontenac,3510045,,Township,Electric,0,0,0,0,0
North Frontenac,3510045,,Township,Gas,822,841,861,895,964
North Frontenac,3510045,,Township,Plugin Hybrid,0,0,0,0,0
North Frontenac,3510045,,Township,Propane,0,0,0,0,0
North Glengarry,3501050,,Township,Compressed Natural Gas,0,0,0,0,0
North Glengarry,3501050,,Township,Diesel,1065,1052,699,712,716
North Glengarry,3501050,,Township,Electric,0,1,4,8,13
North Glengarry,3501050,,Township,Gas,9257,9514,9420,9597,9890
North Glengarry,3501050,,Township,Plugin Hybrid,1,4,10,12,14
North Glengarry,3501050,,Township,Propane,1,1,1,1,1
North Grenville,3507065,,Municipality,Compressed Natural Gas,1,1,1,0,0
North Grenville,3507065,,Municipality,Diesel,900,865,865,873,868
North Grenville,3507065,,Municipality,Electric,6,10,24,31,40
North Grenville,3507065,,Municipality,Gas,13632,14047,14374,14887,15294
North Grenville,3507065,,Municipality,Plugin Hybrid,9,18,28,33,34
North Grenville,3507065,,Municipality,Propane,0,1,1,0,0
North Huron,3540055,,Township,Compressed Natural Gas,0,0,0,0,0
North Huron,3540055,,Township,Diesel,656,604,635,664,668
North Huron,3540055,,Township,Electric,1,1,3,4,5
North Huron,3540055,,Township,Gas,5721,5774,5832,6149,6268
North Huron,3540055,,Township,Plugin Hybrid,3,2,2,2,4
North Huron,3540055,,Township,Propane,2,1,1,1,1
North Kawartha,3515037,,Township,Compressed Natural Gas,0,0,0,0,0
North Kawartha,3515037,,Township,Diesel,194,174,169,171,184
North Kawartha,3515037,,Township,Electric,1,3,4,5,5
North Kawartha,3515037,,Township,Gas,2301,2382,2354,2454,2494
North Kawartha,3515037,,Township,Plugin Hybrid,1,1,1,1,1
North Kawartha,3515037,,Township,Propane,0,0,0,1,0
North Middlesex,3539041,,Municipality,Compressed Natural Gas,1,1,1,1,1
North Middlesex,3539041,,Municipality,Diesel,433,430,443,460,450
North Middlesex,3539041,,Municipality,Electric,0,0,2,2,2
North Middlesex,3539041,,Municipality,Gas,4422,4477,4537,4602,4675
North Middlesex,3539041,,Municipality,Plugin Hybrid,1,2,3,4,4
North Middlesex,3539041,,Municipality,Propane,2,2,2,2,1
North Perth,3531040,,Municipality,Compressed Natural Gas,1,1,2,2,1
North Perth,3531040,,Municipality,Diesel,1115,1150,1156,1140,1175
North Perth,3531040,,Municipality,Electric,0,5,9,12,15
North Perth,3531040,,Municipality,Gas,10803,11378,11811,12309,12616
North Perth,3531040,,Municipality,Plugin Hybrid,3,7,11,12,12
North Perth,3531040,,Municipality,Propane,1,1,1,1,1
North Stormont,3501042,,Township,Compressed Natural Gas,1,1,1,1,1
North Stormont,3501042,,Township,Diesel,604,566,861,850,819
North Stormont,3501042,,Township,Electric,1,1,0,1,3
North Stormont,3501042,,Township,Gas,5478,5517,5878,5972,6103
North Stormont,3501042,,Township,Plugin Hybrid,1,2,2,4,6
North Stormont,3501042,,Township,Propane,0,0,0,0,0
Northeastern Manitoulin and the Islands,3551017,,Municipality,Compressed Natural Gas,0,0,0,0,0
Northeastern Manitoulin and the Islands,3551017,,Municipality,Diesel,128,124,120,115,132
Northeastern Manitoulin and the Islands,3551017,,Municipality,Electric,0,0,1,2,3
Northeastern Manitoulin and the Islands,3551017,,Municipality,Gas,1844,1835,1866,1873,1904
Northeastern Manitoulin and the Islands,3551017,,Municipality,Plugin Hybrid,0,0,0,1,1
Northeastern Manitoulin and the Islands,3551017,,Municipality,Propane,0,0,0,0,0
Northern Bruce Peninsula,3541069,,Municipality,Compressed Natural Gas,0,0,0,0,0
Northern Bruce Peninsula,3541069,,Municipality,Diesel,286,273,282,276,288
Northern Bruce Peninsula,3541069,,Municipality,Electric,0,3,6,11,18
Northern Bruce Peninsula,3541069,,Municipality,Gas,3259,3387,3411,3385,3401
Northern Bruce Peninsula,3541069,,Municipality,Plugin Hybrid,1,1,4,4,5
Northern Bruce Peninsula,3541069,,Municipality,Propane,1,1,1,0,1
Northumberland,,3514,Census Division,Compressed Natural Gas,6,6,6,6,6
Northumberland,,3514,Census Division,Diesel,3564,3564,3762,3949,3957
Northumberland,,3514,Census Division,Electric,16,30,75,110,150
Northumberland,,3514,Census Division,Gas,66467,68619,69106,70138,71582
Northumberland,,3514,Census Division,Plugin Hybrid,22,41,84,101,104
Northumberland,,3514,Census Division,Propane,7,7,4,4,4
Norwich,3532002,,Township,Compressed Natural Gas,0,0,0,1,1
Norwich,3532002,,Township,Diesel,807,830,821,849,873
Norwich,3532002,,Township,Electric,1,3,3,5,6
Norwich,3532002,,Township,Gas,6511,6733,6839,6970,7133
Norwich,3532002,,Township,Plugin Hybrid,2,3,4,3,3
Norwich,3532002,,Township,Propane,0,0,0,0,0
Oakville,3524001,,Town,Compressed Natural Gas,4,5,4,5,7
Oakville,3524001,,Town,Diesel,6526,6154,6107,5892,5778
Oakville,3524001,,Town,Electric,216,378,798,1097,1394
Oakville,3524001,,Town,Gas,128783,131635,134797,137477,138045
Oakville,3524001,,Town,Plugin Hybrid,177,294,486,536,589
Oakville,3524001,,Town,Propane,1,3,1,3,4
Oil Springs,3538018,,Village,Compressed Natural Gas,0,0,0,0,0
Oil Springs,3538018,,Village,Diesel,102,98,98,111,115
Oil Springs,3538018,,Village,Electric,0,0,0,0,0
Oil Springs,3538018,,Village,Gas,1013,1025,1065,1094,1098
Oil Springs,3538018,,Village,Plugin Hybrid,0,0,0,0,0
Oil Springs,3538018,,Village,Propane,0,0,0,0,1
Oliver Paipoonge,3558011,,Municipality,Compressed Natural Gas,0,0,0,0,0
Oliver Paipoonge,3558011,,Municipality,Diesel,682,670,694,669,704
Oliver Paipoonge,3558011,,Municipality,Electric,0,0,2,3,5
Oliver Paipoonge,3558011,,Municipality,Gas,4919,4969,5044,5093,5186
Oliver Paipoonge,3558011,,Municipality,Plugin Hybrid,0,1,6,6,7
Oliver Paipoonge,3558011,,Municipality,Propane,2,1,1,1,1
Opasatika,3556073,,Township,Compressed Natural Gas,0,0,0,0,0
Opasatika,3556073,,Township,Diesel,15,13,13,12,15
Opasatika,3556073,,Township,Electric,0,0,0,0,0
Opasatika,3556073,,Township,Gas,181,176,181,196,211
Opasatika,3556073,,Township,Plugin Hybrid,0,0,0,0,0
Opasatika,3556073,,Township,Propane,0,0,0,0,0
Orangeville,3522014,,Town,Compressed Natural Gas,1,0,0,0,0
Orangeville,3522014,,Town,Diesel,992,924,945,952,948
Orangeville,3522014,,Town,Electric,7,9,25,42,55
Orangeville,3522014,,Town,Gas,21297,21830,22357,22614,22906
Orangeville,3522014,,Town,Plugin Hybrid,4,10,28,36,38
Orangeville,3522014,,Town,Propane,0,0,1,1,1
Orillia,3543052,,City,Compressed Natural Gas,3,2,1,2,2
Orillia,3543052,,City,Diesel,907,777,768,761,772
Orillia,3543052,,City,Electric,4,5,15,24,38
Orillia,3543052,,City,Gas,22521,22457,22454,22711,23491
Orillia,3543052,,City,Plugin Hybrid,7,8,16,22,22
Orillia,3543052,,City,Propane,1,1,1,0,0
Oro-Medonte,3543023,,Township,Compressed Natural Gas,0,0,0,0,0
Oro-Medonte,3543023,,Township,Diesel,904,868,869,940,969
Oro-Medonte,3543023,,Township,Electric,3,9,22,38,48
Oro-Medonte,3543023,,Township,Gas,13605,13218,13427,13766,14078
Oro-Medonte,3543023,,Township,Plugin Hybrid,5,7,18,20,19
Oro-Medonte,3543023,,Township,Propane,4,3,2,2,2
Oshawa,3518013,,City,Compressed Natural Gas,12,13,11,12,13
Oshawa,3518013,,City,Diesel,2890,2768,2733,2816,2839
Oshawa,3518013,,City,Electric,26,51,126,189,236
Oshawa,3518013,,City,Gas,102211,104561,106432,109068,111549
Oshawa,3518013,,City,Plugin Hybrid,54,78,120,129,146
Oshawa,3518013,,City,Propane,8,8,8,8,8
Otonabee-South Monaghan,3515005,,Township,Compressed Natural Gas,0,0,0,0,0
Otonabee-South Monaghan,3515005,,Township,Diesel,331,325,326,350,365
Otonabee-South Monaghan,3515005,,Township,Electric,1,2,3,3,7
Otonabee-South Monaghan,3515005,,Township,Gas,4199,4249,4299,4372,4446
Otonabee-South Monaghan,3515005,,Township,Plugin Hybrid,0,1,6,5,5
Otonabee-South Monaghan,3515005,,Township,Propane,1,0,0,0,0
Ottawa,3506008,,City / Ville,Compressed Natural Gas,23,22,21,19,22
Ottawa,3506008,,City / Ville,Diesel,18722,17529,17367,17810,18104
Ottawa,3506008,,City / Ville,Electric,407,669,1546,2041,2692
Ottawa,3506008,,City / Ville,Gas,554044,568819,580280,594211,602348
Ottawa,3506008,,City / Ville,Plugin Hybrid,389,652,1257,1467,1688
Ottawa,3506008,,City / Ville,Propane,22,16,15,22,24
Owen Sound,3542059,,City,Compressed Natural Gas,0,0,1,1,1
Owen Sound,3542059,,City,Diesel,998,950,987,991,1015
Owen Sound,3542059,,City,Electric,11,18,28,34,46
Owen Sound,3542059,,City,Gas,19902,20313,20642,20803,20992
Owen Sound,3542059,,City,Plugin Hybrid,6,8,34,40,51
Owen Sound,3542059,,City,Propane,6,6,4,4,4
Oxford,,3532,Census Division,Compressed Natural Gas,2,5,6,8,7
Oxford,,3532,Census Division,Diesel,7114,7077,7532,7864,7760
Oxford,,3532,Census Division,Electric,20,51,126,142,154
Oxford,,3532,Census Division,Gas,84553,87507,89546,91933,94735
Oxford,,3532,Census Division,Plugin Hybrid,27,55,110,116,100
Oxford,,3532,Census Division,Propane,14,11,9,7,5
Papineau-Cameron,3548013,,Township,Compressed Natural Gas,0,0,0,0,0
Papineau-Cameron,3548013,,Township,Diesel,0,0,0,0,0
Papineau-Cameron,3548013,,Township,Electric,0,0,0,0,0
Papineau-Cameron,3548013,,Township,Gas,2,1,1,1,1
Papineau-Cameron,3548013,,Township,Plugin Hybrid,0,0,0,0,0
Papineau-Cameron,3548013,,Township,Propane,0,0,0,0,0
Parry Sound,3549032,,Town,Compressed Natural Gas,0,0,0,0,0
Parry Sound,3549032,,Town,Diesel,252,250,240,249,258
Parry Sound,3549032,,Town,Electric,1,1,1,5,8
Parry Sound,3549032,,Town,Gas,4923,5059,5112,5135,5276
Parry Sound,3549032,,Town,Plugin Hybrid,1,1,3,2,3
Parry Sound,3549032,,Town,Propane,0,0,0,1,1
Peel,,3521,Census Division,Compressed Natural Gas,142,141,168,211,250
Peel,,3521,Census Division,Diesel,59582,60592,64166,66048,66991
Peel,,3521,Census Division,Electric,531,893,1885,2688,3559
Peel,,3521,Census Division,Gas,784079,806246,825682,839731,839481
Peel,,3521,Census Division,Plugin Hybrid,341,592,1164,1349,1516
Peel,,3521,Census Division,Propane,71,65,53,54,42
Pelee,3537001,,Township,Compressed Natural Gas,0,0,0,0,0
Pelee,3537001,,Township,Diesel,13,15,16,16,18
Pelee,3537001,,Township,Electric,0,0,1,1,1
Pelee,3537001,,Township,Gas,240,238,248,223,213
Pelee,3537001,,Township,Plugin Hybrid,0,0,0,0,0
Pelee,3537001,,Township,Propane,0,0,0,0,0
Pelham,3526028,,Town,Compressed Natural Gas,0,0,1,1,1
Pelham,3526028,,Town,Diesel,899,880,913,954,985
Pelham,3526028,,Town,Electric,5,9,23,35,46
Pelham,3526028,,Town,Gas,15374,15767,16070,16404,16637
Pelham,3526028,,Town,Plugin Hybrid,8,14,25,29,31
Pelham,3526028,,Town,Propane,1,2,1,2,2
Pembroke,3547064,,City,Compressed Natural Gas,0,0,1,1,1
Pembroke,3547064,,City,Diesel,1127,1140,1139,1180,1177
Pembroke,3547064,,City,Electric,3,6,8,11,12
Pembroke,3547064,,City,Gas,20159,20304,20453,20620,20901
Pembroke,3547064,,City,Plugin Hybrid,5,12,16,19,16
Pembroke,3547064,,City,Propane,0,0,2,1,2
Penetanguishene,3543072,,Town,Compressed Natural Gas,0,0,0,0,0
Penetanguishene,3543072,,Town,Diesel,231,222,218,228,225
Penetanguishene,3543072,,Town,Electric,2,2,4,8,9
Penetanguishene,3543072,,Town,Gas,6100,6305,6429,6555,6727
Penetanguishene,3543072,,Town,Plugin Hybrid,4,6,12,11,11
Penetanguishene,3543072,,Town,Propane,0,0,0,0,0
Perry,3549014,,Township,Compressed Natural Gas,1,1,1,0,0
Perry,3549014,,Township,Diesel,165,174,174,179,185
Perry,3549014,,Township,Electric,0,0,1,2,2
Perry,3549014,,Township,Gas,2557,2633,2636,2586,2624
Perry,3549014,,Township,Plugin Hybrid,2,2,3,3,4
Perry,3549014,,Township,Propane,2,2,2,1,1
Perth,3509021,,Town,Compressed Natural Gas,0,0,0,0,0
Perth,,3531,Census Division,Compressed Natural Gas,3,4,5,5,5
Perth,3509021,,Town,Diesel,628,648,542,560,590
Perth,,3531,Census Division,Diesel,4010,4024,4074,4209,4300
Perth,3509021,,Town,Electric,1,2,5,15,27
Perth,,3531,Census Division,Electric,7,16,37,61,87
Perth,3509021,,Town,Gas,12053,12364,12612,12897,13156
Perth,,3531,Census Division,Gas,54868,56615,57977,59297,60572
Perth,3509021,,Town,Plugin Hybrid,3,5,9,18,20
Perth,,3531,Census Division,Plugin Hybrid,16,32,54,65,71
Perth,3509021,,Town,Propane,1,1,1,1,1
Perth,,3531,Census Division,Propane,12,13,12,7,7
Perth East,3531030,,Township,Compressed Natural Gas,1,1,1,1,1
Perth East,3531030,,Township,Diesel,783,764,782,814,826
Perth East,3531030,,Township,Electric,2,4,2,2,5
Perth East,3531030,,Township,Gas,6967,7119,7197,7375,7516
Perth East,3531030,,Township,Plugin Hybrid,5,5,8,9,7
Perth East,3531030,,Township,Propane,1,1,1,0,0
Perth South,3531013,,Township,Compressed Natural Gas,0,1,1,1,2
Perth South,3531013,,Township,Diesel,602,608,617,629,637
Perth South,3531013,,Township,Electric,0,1,4,10,12
Perth South,3531013,,Township,Gas,7926,8166,8338,8481,8568
Perth South,3531013,,Township,Plugin Hybrid,2,5,4,7,11
Perth South,3531013,,Township,Propane,1,1,1,0,0
Petawawa,3547076,,Town,Compressed Natural Gas,0,0,0,0,0
Petawawa,3547076,,Town,Diesel,323,282,298,318,329
Petawawa,3547076,,Town,Electric,2,3,10,10,12
Petawawa,3547076,,Town,Gas,11141,11339,11491,11640,11801
Petawawa,3547076,,Town,Plugin Hybrid,4,6,15,13,12
Petawawa,3547076,,Town,Propane,1,1,1,1,1
Peterborough,3515014,,City,Compressed Natural Gas,1,1,2,1,1
Peterborough,,3515,Census Division,Compressed Natural Gas,4,4,3,1,2
Peterborough,3515014,,City,Diesel,2303,2151,2089,2124,2125
Peterborough,,3515,Census Division,Diesel,5263,5137,5214,5272,5345
Peterborough,3515014,,City,Electric,15,30,61,88,115
Peterborough,,3515,Census Division,Electric,23,52,102,138,187
Peterborough,3515014,,City,Gas,55199,56825,58069,58383,59069
Peterborough,,3515,Census Division,Gas,94645,97894,99700,101226,103084
Peterborough,3515014,,City,Plugin Hybrid,17,28,59,78,84
Peterborough,,3515,Census Division,Plugin Hybrid,21,40,100,119,128
Peterborough,3515014,,City,Propane,23,21,27,47,48
Peterborough,,3515,Census Division,Propane,26,21,28,50,50
Petrolia,3538019,,Town,Compressed Natural Gas,1,1,1,1,0
Petrolia,3538019,,Town,Diesel,495,471,481,502,497
Petrolia,3538019,,Town,Electric,1,2,4,7,8
Petrolia,3538019,,Town,Gas,6081,6205,6286,6410,6479
Petrolia,3538019,,Town,Plugin Hybrid,0,2,4,3,3
Petrolia,3538019,,Town,Propane,3,3,0,0,1
Pickering,3518001,,City,Compressed Natural Gas,113,115,115,116,150
Pickering,3518001,,City,Diesel,2758,2770,2964,3109,3509
Pickering,3518001,,City,Electric,34,54,135,198,255
Pickering,3518001,,City,Gas,63880,64989,65889,66945,67943
Pickering,3518001,,City,Plugin Hybrid,31,50,91,95,100
Pickering,3518001,,City,Propane,2,3,2,2,3
Pickle Lake,3560049,,Township,Compressed Natural Gas,0,0,0,0,0
Pickle Lake,3560049,,Township,Diesel,26,28,25,25,25
Pickle Lake,3560049,,Township,Electric,0,0,0,0,0
Pickle Lake,3560049,,Township,Gas,301,291,302,274,263
Pickle Lake,3560049,,Township,Plugin Hybrid,0,0,0,0,0
Pickle Lake,3560049,,Township,Propane,0,0,0,0,0
Plympton-Wyoming,3538035,,Town,Compressed Natural Gas,0,0,0,0,0
Plympton-Wyoming,3538035,,Town,Diesel,591,563,556,580,601
Plympton-Wyoming,3538035,,Town,Electric,0,0,2,1,7
Plympton-Wyoming,3538035,,Town,Gas,6439,6589,6750,6858,6954
Plympton-Wyoming,3538035,,Town,Plugin Hybrid,5,9,11,9,9
Plympton-Wyoming,3538035,,Town,Propane,0,0,0,0,1
Point Edward,3538031,,Village,Compressed Natural Gas,0,0,0,0,0
Point Edward,3538031,,Village,Diesel,84,68,71,70,68
Point Edward,3538031,,Village,Electric,0,0,1,1,0
Point Edward,3538031,,Village,Gas,1674,1660,1660,1678,1685
Point Edward,3538031,,Village,Plugin Hybrid,0,0,0,1,0
Point Edward,3538031,,Village,Propane,1,1,2,2,2
Port Colborne,3526011,,City,Compressed Natural Gas,0,1,1,1,1
Port Colborne,3526011,,City,Diesel,671,667,690,711,730
Port Colborne,3526011,,City,Electric,5,6,8,16,20
Port Colborne,3526011,,City,Gas,14869,15232,15419,15691,15931
Port Colborne,3526011,,City,Plugin Hybrid,8,9,11,11,15
Port Colborne,3526011,,City,Propane,1,1,1,1,0
Port Hope,3514020,,Municipality,Compressed Natural Gas,0,0,0,0,1
Port Hope,3514020,,Municipality,Diesel,624,613,688,728,678
Port Hope,3514020,,Municipality,Electric,7,12,22,22,31
Port Hope,3514020,,Municipality,Gas,13323,13709,13752,13844,14053
Port Hope,3514020,,Municipality,Plugin Hybrid,6,14,28,29,28
Port Hope,3514020,,Municipality,Propane,2,2,1,0,1
Powassan,3549060,,Municipality,Compressed Natural Gas,0,0,0,0,0
Powassan,3549060,,Municipality,Diesel,258,261,252,253,273
Powassan,3549060,,Municipality,Electric,0,0,1,2,2
Powassan,3549060,,Municipality,Gas,4096,4122,4096,4161,4238
Powassan,3549060,,Municipality,Plugin Hybrid,2,3,2,2,2
Powassan,3549060,,Municipality,Propane,1,2,2,2,1
Prescott,3507008,,Town,Compressed Natural Gas,0,0,0,0,0
Prescott,3507008,,Town,Diesel,593,603,577,549,593
Prescott,3507008,,Town,Electric,1,3,4,5,7
Prescott,3507008,,Town,Gas,5455,5593,5655,5771,5939
Prescott,3507008,,Town,Plugin Hybrid,0,0,0,1,2
Prescott,3507008,,Town,Propane,0,0,0,0,0
Prescott and Russell,,3502,Census Division,Compressed Natural Gas,1,1,1,2,2
Prescott and Russell,,3502,Census Division,Diesel,4700,4531,4668,4691,4456
Prescott and Russell,,3502,Census Division,Electric,13,39,97,135,161
Prescott and Russell,,3502,Census Division,Gas,68698,70341,71672,73837,75622
Prescott and Russell,,3502,Census Division,Plugin Hybrid,36,79,144,156,160
Prescott and Russell,,3502,Census Division,Propane,6,7,7,6,5
Prince,3557066,,Township,Compressed Natural Gas,0,0,0,0,0
Prince,3557066,,Township,Diesel,57,53,43,41,44
Prince,3557066,,Township,Electric,0,0,0,1,1
Prince,3557066,,Township,Gas,758,787,798,814,814
Prince,3557066,,Township,Plugin Hybrid,1,1,0,0,0
Prince,3557066,,Township,Propane,1,0,0,0,0
Prince Edward County,3513020,,City,Compressed Natural Gas,1,0,0,0,0
Prince Edward County,3513020,,City,Diesel,1262,1260,1266,1301,1278
Prince Edward County,3513020,,City,Electric,3,10,25,33,52
Prince Edward County,3513020,,City,Gas,20667,21043,21205,21446,21853
Prince Edward County,3513020,,City,Plugin Hybrid,8,12,18,25,37
Prince Edward County,3513020,,City,Propane,2,3,2,4,3
Puslinch,3523001,,Township,Compressed Natural Gas,0,0,0,0,0
Puslinch,3523001,,Township,Diesel,865,999,985,1066,1092
Puslinch,3523001,,Township,Electric,5,8,14,23,33
Puslinch,3523001,,Township,Gas,4965,6124,6286,6471,6571
Puslinch,3523001,,Township,Plugin Hybrid,2,4,6,12,12
Puslinch,3523001,,Township,Propane,0,0,0,0,0
Quinte West,3512015,,City,Compressed Natural Gas,0,0,1,1,2
Quinte West,3512015,,City,Diesel,1105,1068,1127,1143,1168
Quinte West,3512015,,City,Electric,2,4,10,15,28
Quinte West,3512015,,City,Gas,26846,27546,28101,28840,29396
Quinte West,3512015,,City,Plugin Hybrid,4,19,28,34,35
Quinte West,3512015,,City,Propane,4,5,6,6,5
Rainy River,3559042,,Town,Compressed Natural Gas,0,0,0,0,0
Rainy River,3559042,,Town,Diesel,54,62,57,56,66
Rainy River,3559042,,Town,Electric,0,0,0,0,0
Rainy River,3559042,,Town,Gas,935,930,952,956,963
Rainy River,3559042,,Town,Plugin Hybrid,0,0,0,0,0
Rainy River,3559042,,Town,Propane,0,0,0,0,0
Ramara,3543019,,Township,Compressed Natural Gas,0,0,0,0,0
Ramara,3543019,,Township,Diesel,459,476,483,525,525
Ramara,3543019,,Township,Electric,0,2,5,6,12
Ramara,3543019,,Township,Gas,6391,6868,7307,7647,7923
Ramara,3543019,,Township,Plugin Hybrid,3,5,6,7,7
Ramara,3543019,,Township,Propane,1,0,0,0,0
Red Lake,3560042,,Municipality,Compressed Natural Gas,0,0,0,0,0
Red Lake,3560042,,Municipality,Diesel,274,295,335,287,290
Red Lake,3560042,,Municipality,Electric,0,0,0,1,1
Red Lake,3560042,,Municipality,Gas,3392,3381,3508,3455,3427
Red Lake,3560042,,Municipality,Plugin Hybrid,0,2,2,2,2
Red Lake,3560042,,Municipality,Propane,2,2,1,0,0
Red Rock,3558041,,Township,Compressed Natural Gas,0,0,0,0,0
Red Rock,3558041,,Township,Diesel,32,29,32,38,43
Red Rock,3558041,,Township,Electric,0,0,0,0,1
Red Rock,3558041,,Township,Gas,674,668,632,642,649
Red Rock,3558041,,Township,Plugin Hybrid,0,0,0,0,0
Red Rock,3558041,,Township,Propane,0,0,0,0,0
Renfrew,3547048,,Town,Compressed Natural Gas,1,1,1,1,1
Renfrew,,3547,Census Division,Compressed Natural Gas,2,2,3,3,4
Renfrew,3547048,,Town,Diesel,513,525,534,526,527
Renfrew,,3547,Census Division,Diesel,4047,3938,3990,4056,4140
Renfrew,3547048,,Town,Electric,0,2,6,6,7
Renfrew,,3547,Census Division,Electric,10,18,50,62,74
Renfrew,3547048,,Town,Gas,10425,10511,10648,10610,10781
Renfrew,,3547,Census Division,Gas,81852,82824,83618,83875,85412
Renfrew,3547048,,Town,Plugin Hybrid,2,2,4,5,4
Renfrew,,3547,Census Division,Plugin Hybrid,18,31,58,71,71
Renfrew,3547048,,Town,Propane,0,0,0,0,1
Renfrew,,3547,Census Division,Propane,5,6,6,4,5
Richmond Hill,3519038,,Town,Compressed Natural Gas,2,1,2,1,0
Richmond Hill,3519038,,Town,Diesel,4656,4356,4219,4125,3869
Richmond Hill,3519038,,Town,Electric,207,332,635,824,991
Richmond Hill,3519038,,Town,Gas,115645,116839,119051,121526,121183
Richmond Hill,3519038,,Town,Plugin Hybrid,119,197,360,408,435
Richmond Hill,3519038,,Town,Propane,2,3,3,5,4
Rideau Lakes,3507040,,Township,Compressed Natural Gas,1,0,0,0,0
Rideau Lakes,3507040,,Township,Diesel,236,233,242,237,264
Rideau Lakes,3507040,,Township,Electric,0,0,5,5,10
Rideau Lakes,3507040,,Township,Gas,3967,4051,4043,4142,4305
Rideau Lakes,3507040,,Township,Plugin Hybrid,2,5,4,3,2
Rideau Lakes,3507040,,Township,Propane,0,0,0,0,0
Russell,3502048,,Township,Compressed Natural Gas,0,0,0,0,0
Russell,3502048,,Township,Diesel,668,593,591,602,623
Russell,3502048,,Township,Electric,2,4,12,22,34
Russell,3502048,,Township,Gas,12602,13099,13545,14177,14837
Russell,3502048,,Township,Plugin Hybrid,4,14,28,31,33
Russell,3502048,,Township,Propane,0,2,3,2,2
Ryerson,3549024,,Township,Compressed Natural Gas,0,0,0,0,0
Ryerson,3549024,,Township,Diesel,0,0,0,0,0
Ryerson,3549024,,Township,Electric,0,0,0,0,0
Ryerson,3549024,,Township,Gas,0,0,1,0,0
Ryerson,3549024,,Township,Plugin Hybrid,0,0,0,0,0
Ryerson,3549024,,Township,Propane,0,0,0,0,0
Sables-Spanish Rivers,3552023,,Township,Compressed Natural Gas,0,0,0,0,0
Sables-Spanish Rivers,3552023,,Township,Diesel,349,351,349,363,385
Sables-Spanish Rivers,3552023,,Township,Electric,0,0,2,2,4
Sables-Spanish Rivers,3552023,,Township,Gas,4021,4101,4113,4107,4203
Sables-Spanish Rivers,3552023,,Township,Plugin Hybrid,1,1,3,3,3
Sables-Spanish Rivers,3552023,,Township,Propane,2,2,1,1,1
Sarnia,3538030,,City,Compressed Natural Gas,3,2,2,3,3
Sarnia,3538030,,City,Diesel,1789,1714,1664,1719,1739
Sarnia,3538030,,City,Electric,10,12,26,36,56
Sarnia,3538030,,City,Gas,51406,52316,53180,53777,54337
Sarnia,3538030,,City,Plugin Hybrid,8,17,29,39,36
Sarnia,3538030,,City,Propane,6,5,6,7,7
Saugeen Shores,3541045,,Town,Compressed Natural Gas,0,0,0,0,0
Saugeen Shores,3541045,,Town,Diesel,545,527,540,552,548
Saugeen Shores,3541045,,Town,Electric,1,3,13,15,25
Saugeen Shores,3541045,,Town,Gas,12090,12375,12638,12852,13333
Saugeen Shores,3541045,,Town,Plugin Hybrid,9,10,17,21,25
Saugeen Shores,3541045,,Town,Propane,0,0,0,0,0
Sault Ste. Marie,3557061,,City,Compressed Natural Gas,3,3,3,3,2
Sault Ste. Marie,3557061,,City,Diesel,2048,1987,1991,2088,2069
Sault Ste. Marie,3557061,,City,Electric,5,6,15,19,23
Sault Ste. Marie,3557061,,City,Gas,52176,51729,51930,51874,52036
Sault Ste. Marie,3557061,,City,Plugin Hybrid,5,12,17,16,19
Sault Ste. Marie,3557061,,City,Propane,13,11,10,9,12
Schreiber,3558051,,Township,Compressed Natural Gas,0,0,0,0,0
Schreiber,3558051,,Township,Diesel,37,35,34,37,36
Schreiber,3558051,,Township,Electric,0,0,0,0,1
Schreiber,3558051,,Township,Gas,993,974,962,944,950
Schreiber,3558051,,Township,Plugin Hybrid,1,1,1,1,1
Schreiber,3558051,,Township,Propane,0,0,0,0,0
Scugog,3518020,,Township,Compressed Natural Gas,1,0,1,1,1
Scugog,3518020,,Township,Diesel,1430,1548,1556,1655,1668
Scugog,3518020,,Township,Electric,9,13,29,49,63
